"politician_name";"party_name_short";"party_name";"lrgen";"lrecon";"galtan"
"froukje de jonge";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"roger de groot";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"tom van der lee";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"piet hein donner";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"paul smeulders";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"erik van merrienboer";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"richard van zwol";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"heleen dupuis";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"sjaak van der tak";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"esther ouwehand";"PvdD";"Partij voor de Dieren";1.5;2.2727273;2.25
"tuur elzinga";"SP";"Socialistische Partij";1.1666666;1.3333334;4.6666665
"andré bosman";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"els borst";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"pia dijkstra";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"ingrid van engelshoven";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"sander dekker";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"marjolein faber";"PVV";"Partij voor de Vrijheid";9.083333;6.3333335;8.090909
"sandra korthuis";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"marjan van kampen";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"jack mikkers";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"ton heerts";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"arthur van dijk";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"rabin baldewsingh";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"martijn balster";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"tanay bilgin";"FvD";"Forum voor Democratie";9.833333;8.8;9.833333
"joris thijssen";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"dick van der velde";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"renske leijten";"SP";"Socialistische Partij";1.1666666;1.3333334;4.6666665
"uri rosenthal";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
